Tissue	Signature	p	q	Dead	Alive	Present	Absent	Median_Surv_Attributed	Median_Surv_Unattributed	Diff_Median_Survival
GBM	CN5	0.0035518518855023	0.0777855562925003	353	105	19	439	287	459	-172
UCEC	CN1	0.000228580795630908	0.0250295971215844	46	375	277	144	NA	NA	NA
UCEC	CN17	0.00124617265076663	0.0591700022041465	46	375	103	318	NA	NA	NA
PAAD	CN1	0.00135091329233211	0.0591700022041465	60	66	90	36	593	NA	NA
KIRP	CN6	0.00252113483068038	0.0776522507201824	28	198	15	211	1314	NA	NA
THYM	CN1	0.000465472128659555	0.0339794653921476	2	74	62	14	NA	NA	NA
THYM	CN2	0.00290503259675105	0.0776522507201824	2	74	16	60	NA	NA	NA
KIRC	CN9	0.00225775707113374	0.0776522507201824	102	353	37	418	1626	NA	NA
LGG	CN9	3.42546551858426e-05	0.00750176948569952	102	362	84	380	1335	2875	-1540
ACC	CN6	0.00464359559514553	0.0924497668488064	28	59	17	70	1355	NA	NA
ACC	CN17	0.00319118838576092	0.0776522507201824	28	59	16	71	994	NA	NA
